ISIC,uniq_RP,diff_act,CoV
3821:Treatment and disposal of non-hazardous waste,"waste mineral wool, for final disposal",3,-0.122284913
3821:Treatment and disposal of non-hazardous waste,"waste plastic, industrial electronics",3,-0.012775207
3821:Treatment and disposal of non-hazardous waste,waste polyethylene/polypropylene product,3,-0.625217792
3821:Treatment and disposal of non-hazardous waste,"waste polystyrene isolation, flame-retardant",3,-0.001064618
3821:Treatment and disposal of non-hazardous waste,waste polyvinylchloride product,3,-0.643255684
3821:Treatment and disposal of non-hazardous waste,waste polyvinylfluoride,3,-0.022345241
3821:Treatment and disposal of non-hazardous waste,"waste sealing sheet, polyethylene",3,-0.004880686
3821:Treatment and disposal of non-hazardous waste,"waste sealing sheet, polyvinylchloride",3,-0.034266576
3821:Treatment and disposal of non-hazardous waste,"waste vapour barrier, flame-retarded",3,-0.006961035
3821:Treatment and disposal of non-hazardous waste,waste wire plastic,3,-0.036150384
3821:Treatment and disposal of non-hazardous waste,"waste wood pole, chrome preserved",3,-0.195901017
3821:Treatment and disposal of non-hazardous waste,zinc in car shredder residue,3,-0.322635699
3821:Treatment and disposal of non-hazardous waste,electric arc furnace slag,4,-1.158939834
3821:Treatment and disposal of non-hazardous waste,scrap aluminium,4,-0.082523642
3821:Treatment and disposal of non-hazardous waste,scrap copper,4,-0.02188092
3821:Treatment and disposal of non-hazardous waste,scrap tin sheet,4,-0.144709804
3821:Treatment and disposal of non-hazardous waste,"waste plastic plaster, for final disposal",4,-0.547438319
3821:Treatment and disposal of non-hazardous waste,raw sewage sludge,5,-0.853662799
3821:Treatment and disposal of non-hazardous waste,compost,6,0
3821:Treatment and disposal of non-hazardous waste,waste gypsum,6,-0.510275624
3821:Treatment and disposal of non-hazardous waste,"waste plastic, consumer electronics",6,-0.719544788
3821:Treatment and disposal of non-hazardous waste,biogas,8,1.279779673
3821:Treatment and disposal of non-hazardous waste,"wood ash mixture, pure",10,-0.630320203
3821:Treatment and disposal of non-hazardous waste,waste glass,16,-3.131368954
3821:Treatment and disposal of non-hazardous waste,waste graphical paper,16,-0.614860573
3821:Treatment and disposal of non-hazardous waste,waste polyethylene,16,-1.46764603
3821:Treatment and disposal of non-hazardous waste,waste polyethylene terephthalate,16,-1.471337607
3821:Treatment and disposal of non-hazardous waste,waste polypropylene,16,-1.46861642
3821:Treatment and disposal of non-hazardous waste,waste polystyrene,16,-1.467574619
3821:Treatment and disposal of non-hazardous waste,waste polyvinylchloride,16,-1.527695639
3821:Treatment and disposal of non-hazardous waste,waste paperboard,18,-0.752171508
3821:Treatment and disposal of non-hazardous waste,waste polyurethane,18,-1.611195972
3822:Treatment and disposal of hazardous waste,ash from paper production sludge,3,-0.174578599
3822:Treatment and disposal of hazardous waste,conditioned spent nuclear fuel,3,-0.227490052
3822:Treatment and disposal of hazardous waste,low level radioactive waste,3,-1.60195658
3822:Treatment and disposal of hazardous waste,"process-specific burdens, residual material landfill",3,0.111563021
3822:Treatment and disposal of hazardous waste,"waste cement, hydrated",3,-0.174578599
3822:Treatment and disposal of hazardous waste,spent antifreezer liquid,4,-0.009161152
3822:Treatment and disposal of hazardous waste,"sulfidic tailings, from nickel mine operation",4,0
3822:Treatment and disposal of hazardous waste,"sulfidic tailings, from silver mine operation",4,0
3822:Treatment and disposal of hazardous waste,used capacitor,4,-0.013295342
3822:Treatment and disposal of hazardous waste,spent nuclear fuel,5,-0.696577418
3822:Treatment and disposal of hazardous waste,bilge oil,6,-0.008524257
3822:Treatment and disposal of hazardous waste,fly ash and scrubber sludge,6,-0.009815774
3822:Treatment and disposal of hazardous waste,"hazardous waste, for incineration",6,-0.005121664
3822:Treatment and disposal of hazardous waste,"sulfidic tailings, from zinc-lead mine operation",8,0
3822:Treatment and disposal of hazardous waste,"sulfidic tailings, from copper mine operation",11,0
3822:Treatment and disposal of hazardous waste,"sulfidic tailings, from gold mine operation",13,0
382:Waste treatment and disposal,used refrigerant R134a,3,-1.721443118
3830:Materials recovery,"tinplate scrap, sorted",3,0.862863244
3830:Materials recovery,used desktop computer,3,-0.101116827
3830:Materials recovery,"used printer, laser",3,-0.10757057
3830:Materials recovery,"waste bulk iron, excluding reinforcement",3,-0.711727314
3830:Materials recovery,"waste paperboard, sorted",3,0.744046642
3830:Materials recovery,"polyethylene terephthalate, granulate, amorphous, recycled",4,0.463283921
3830:Materials recovery,"polyethylene, high density, granulate, recycled",4,0.123740871
3830:Materials recovery,"aluminium scrap, post-consumer, prepared for melting",8,1.268607405
3830:Materials recovery,"iron scrap, sorted, pressed",8,0.679138953
4100:Construction of buildings,nuclear fuel factory,3,0.005225019
4100:Construction of buildings,uranium conversion facility,3,0.001411318
4100:Construction of buildings,uranium enrichment centrifuge facility,3,0.004548519
4100:Construction of buildings,"greenhouse, glass walls and roof",4,0.042528223
4100:Construction of buildings,"greenhouse, plastic walls and roof",4,0.10969319
4210:Construction of roads and railways,road maintenance,3,0.698934043
4220:Construction of utility projects,"pipeline, natural gas, high pressure distribution network",3,0.087710301
4220:Construction of utility projects,"wastewater treatment facility, capacity 1.1E10l/year",3,0.693224164
4220:Construction of utility projects,"wastewater treatment facility, capacity 1.6E8l/year",3,0.892135022
4220:Construction of utility projects,"wastewater treatment facility, capacity 1E9l/year",3,0.132925301
4220:Construction of utility projects,"wastewater treatment facility, capacity 5E9l/year",3,0.503616669
4220:Construction of utility projects,"water works, capacity 1.1E10l/year",14,0.592195473
"4220a: Construction of utility projects for electricity production, except for liquid fuels","distribution network, electricity, low voltage",3,0.124969409
"4220a: Construction of utility projects for electricity production, except for liquid fuels","hydropower plant, reservoir",3,0.544691105
"4220a: Construction of utility projects for electricity production, except for liquid fuels","transmission network, electricity, high voltage",3,0.860045258
"4220a: Construction of utility projects for electricity production, except for liquid fuels","transmission network, electricity, medium voltage",3,0.63898817
"4220a: Construction of utility projects for electricity production, except for liquid fuels","hydropower plant, run-of-river",4,1.194249438
"4220a: Construction of utility projects for electricity production, except for liquid fuels","nuclear power plant, boiling water reactor 1000MW",4,0.309709149
"4220a: Construction of utility projects for electricity production, except for liquid fuels","used nitrate salts, for solar power application",4,0.181714925
"4220a: Construction of utility projects for electricity production, except for liquid fuels","nuclear power plant, pressure water reactor 1000MW",6,0.370004723
4290:Construction of other civil engineering projects,"mine infrastructure, gold and silver",3,0
4290:Construction of other civil engineering projects,"mine infrastructure, phosphate rock",3,0.336729344
4290:Construction of other civil engineering projects,nuclear spent fuel conditioning facility,3,0.024732588
4290:Construction of other civil engineering projects,sawmill,3,0.325186153
4290:Construction of other civil engineering projects,"mine infrastructure, gold",6,0.032442
"4322:Plumbing, heat and air-conditioning installation","ventilation of dwellings, central, 1 x 720 m3/h",4,0.696806427
"4322:Plumbing, heat and air-conditioning installation","ventilation of dwellings, decentralized, 6 x 120 m3/h",8,0.624630117
"4322:Plumbing, heat and air-conditioning installation",energy saving,12,0.619206891
4520:Maintenance and repair of motor vehicles,"maintenance, lorry 16 metric ton",3,0.41452245
4912:Freight rail transport,"transport, freight train",20,0.66871954
4923:Freight transport by road,"transport, freight, light commercial vehicle",4,0.401102773
4923:Freight transport by road,"transport, freight, lorry with refrigeration machine, cooling",8,0.069573152
4923:Freight transport by road,"transport, freight, lorry with refrigeration machine, freezing",8,0.069573152
4923:Freight transport by road,"transport, freight, lorry, unspecified",11,0.044621272
4930:Transport via pipeline,"transport, pipeline, long distance, natural gas",5,0.457603935
6110:Wired telecommunications activities,"operation, computer, laptop, videoconference",3,0.493860961
68:Real estate activities,"land use change, forest, intensive",12,10.17744586
68:Real estate activities,"land use change, pasture, man made",19,1.063388128
68:Real estate activities,"land tenure, arable land, measured as carbon net primary productivity, forest, intensive",44,-7.579815195
68:Real estate activities,"land use change, annual crop",47,1.239587509
68:Real estate activities,"land use change, perennial crop",53,4.301199336
68:Real estate activities,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",69,1.633374767
68:Real estate activities,"land tenure, arable land, measured as carbon net primary productivity, annual crop",150,1.422142462
68:Real estate activities,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",175,10.78637493
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, 68% active work",3,0.201877467
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s",3,0.280061792
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, video mode",3,0.365751698
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, with cathode ray tube display, active mode",4,0.811772398
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, with cathode ray tube display, off mode",4,0.109656185
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, with cathode ray tube display, standby mode",4,0.535761537
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, with liquid crystal display, active mode",4,0.682836104
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, with liquid crystal display, off mode",4,0.075675783
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, with liquid crystal display, standby mode",4,0.418486098
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, 23% active work",4,0.262144589
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, active mode",4,0.588516616
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, off mode",4,0.096858453
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, laptop, standby/sleep mode",4,0.223635641
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, home use",8,0.348106931
"8219:Photocopying, document preparation and other specialized office support act","operation, computer, desktop, office use",8,0.441815514
"8219:Photocopying, document preparation and other specialized office support act",printed paper,8,0.156460649
various_ISIC,1-butanol,3,0.790155936
various_ISIC,1-propanol,3,0.829087111
various_ISIC,bronze,3,0.859596758
various_ISIC,butyl acrylate,3,1.126373753
various_ISIC,coal tar,3,0.544745446
various_ISIC,coke,3,0.405445582
various_ISIC,copper cake,3,0.386161653
various_ISIC,"electricity, low voltage, label-certified",3,0.718514647
various_ISIC,ethane,3,0.688213225
various_ISIC,"ethanol, without water, in 99.7% solution state, from ethylene",3,0.99410458
various_ISIC,"heat, from steam, in chemical industry",3,0.503115126
various_ISIC,isobutanol,3,0.790155936
various_ISIC,lithium carbonate,3,0.866740255
various_ISIC,"pesticide, unspecified",3,0.459502191
various_ISIC,propane,3,0.739399039
various_ISIC,refrigerant R134a,3,0.866229661
various_ISIC,"rosin size, for paper production",3,0.438304578
various_ISIC,selenium,3,0.374353703
various_ISIC,silica sand,3,0.733709125
various_ISIC,"sodium chloride, powder",3,1.285621044
various_ISIC,spent oxychlor catalyst,3,-0.751635255
various_ISIC,uranium hexafluoride,3,0.03136155
various_ISIC,waste gypsum plasterboard,3,-0.553936852
various_ISIC,"waste paper, sorted",3,0.679118095
various_ISIC,waste plaster-cardboard sandwich,3,-0.659459373
various_ISIC,waste reinforced plasterboard,3,-1.520153305
various_ISIC,whey,3,0.091608155
various_ISIC,"yarn, jute",3,0.250894241
various_ISIC,zinc monosulfate,3,0.371211634
various_ISIC,zinc sulfide,3,0.287221022
various_ISIC,benzene,4,0.190388129
various_ISIC,"calcium carbonate, precipitated",4,0.693995386
various_ISIC,"chlorine, liquid",4,0.725936965
various_ISIC,cobalt,4,1.244497167
various_ISIC,drilling waste,4,-0.823396265
various_ISIC,electric arc furnace dust,4,-1.158939834
various_ISIC,limestone residue,4,-1.168532981
various_ISIC,maize silage,4,0.318863734
various_ISIC,methylcyclohexane,4,0.780825859
various_ISIC,"miscanthus, chopped",4,0.959594942
various_ISIC,platinum,4,1.592542154
various_ISIC,pyrite ash,4,0
various_ISIC,"quicklime, milled, loose",4,0.728374551
various_ISIC,rhodium,4,1.59254214
various_ISIC,silicon carbide,4,1.200470011
various_ISIC,"soil pH raising agent, as CaCO3",4,2
various_ISIC,spent catalytic converter NOx reduction,4,-1.154721359
various_ISIC,sugar beet pulp,4,0.453215156
various_ISIC,triethylene glycol,4,1.176128637
various_ISIC,"used vegetable cooking oil, purified",4,1.05543163
various_ISIC,waste cement-fibre slab,4,-0.763901821
various_ISIC,"waste emulsion paint, on wall",4,-1.058194222
various_ISIC,waste glass pane in burnable frame,4,-0.392000249
various_ISIC,waste mineral plaster,4,-0.334290556
various_ISIC,waste paint on metal,4,-1.976693295
various_ISIC,waste paint on wall,4,-1.041191158
various_ISIC,waste polyurethane seal,4,-1.135376014
various_ISIC,zinc,4,0.997565974
various_ISIC,butane,5,0.827774694
various_ISIC,calcium chloride,5,0.543181671
various_ISIC,"chemical, organic",5,1.832923584
various_ISIC,"gypsum, mineral",5,0.86328336
various_ISIC,lead concentrate,5,0.649096781
various_ISIC,methyl ethyl ketone,5,1.232624294
various_ISIC,pentane,5,0.48470503
various_ISIC,pig iron,5,0.487683485
various_ISIC,"polyethylene terephthalate, granulate, bottle grade",5,0.597672069
various_ISIC,sowing,5,0.478734965
various_ISIC,"sulfur dioxide, liquid",5,0.320649649
various_ISIC,"tea, dried",5,1.099293863
various_ISIC,"uranium, enriched 3.8%, in fuel element for light water reactor",5,0.009883941
various_ISIC,"waste textile, soiled",5,-1.20660928
various_ISIC,zinc concentrate,5,0.734871725
various_ISIC,ammonium sulfate,6,0.434857475
various_ISIC,hydrogen fluoride,6,0.684575836
various_ISIC,iron ore concentrate,6,1.31245942
various_ISIC,lime,6,1.01827531
various_ISIC,maize starch,6,0.327565644
various_ISIC,palladium,6,1.944130552
various_ISIC,"polyethylene, high density, granulate",6,0.601925769
various_ISIC,"rutile, 95% titanium dioxide",6,0.279462482
various_ISIC,"sewage sludge, dried",6,0
various_ISIC,sludge from pulp and paper production,6,-0.911298721
various_ISIC,sugar beet,6,0.416259466
various_ISIC,used tyre,6,-2.449489743
various_ISIC,waste cement in concrete and mortar,6,-0.172053433
various_ISIC,waste concrete gravel,6,-0.473728713
various_ISIC,waste glass sheet,6,-0.404931494
various_ISIC,waste reinforcement steel,6,-0.070760599
various_ISIC,"waste rubber, unspecified",6,-0.774603641
various_ISIC,"yarn, cotton",6,0.138996505
various_ISIC,"copper, anode",7,0.064289339
various_ISIC,"electricity, high voltage, label-certified",7,1.378875066
various_ISIC,lead,7,1.130562943
various_ISIC,nickel smelter slag,7,-1.738539559
various_ISIC,"polyethylene terephthalate, granulate, amorphous",7,0.546169847
various_ISIC,sand,7,0.302477501
various_ISIC,soap,7,0.630640883
various_ISIC,"sodium sulfate, anhydrite",7,1.357084996
various_ISIC,waste brick,7,-0.467325382
various_ISIC,"wood pellet, measured as dry mass",7,0.406479043
various_ISIC,"fishmeal, 63-65% protein",8,0.80116548
various_ISIC,"nickel, class 1",8,1.033344711
various_ISIC,"pulpwood, softwood, measured as solid wood under bark",8,0.709651921
various_ISIC,"sawdust, wet, measured as dry mass",8,0.877902195
various_ISIC,"solvent, organic",8,0.746236569
various_ISIC,"uranium, enriched 3.8%, per separative work unit",8,0.950075937
various_ISIC,blast furnace sludge,9,-1.503960721
various_ISIC,fatty acid,9,0.49589107
various_ISIC,"heat, future",9,0.874935884
various_ISIC,inert waste,9,-1.515467857
various_ISIC,scrap steel,9,-0.717631052
various_ISIC,"waste concrete, not reinforced",9,-0.451436716
various_ISIC,waste mineral wool,9,-1.054366254
various_ISIC,waste reinforced concrete,9,-0.378232011
various_ISIC,"biomethane, high pressure",10,0.558790253
various_ISIC,clinker,10,0.056759718
various_ISIC,spent solvent mixture,10,-0.860671493
various_ISIC,"acetone, liquid",11,0.894290706
various_ISIC,biowaste,11,-1.587543612
various_ISIC,pitch,11,1.487948611
various_ISIC,"tall oil, crude",11,0.325765542
various_ISIC,waste mineral oil,11,-0.957427549
various_ISIC,wheat grain,11,0.505676124
various_ISIC,"hydrochloric acid, without water, in 30% solution state",12,0.705433594
various_ISIC,refinery sludge,12,-0.765241261
various_ISIC,silver,12,1.059719528
various_ISIC,"transport, passenger train",13,0.610974116
various_ISIC,glycerine,14,0.820505063
various_ISIC,"residual hardwood, wet",14,0.530548715
various_ISIC,"wastewater, average",14,-0.662052808
various_ISIC,"water, decarbonised",14,2.653288107
various_ISIC,light fuel oil,15,0.272637023
various_ISIC,"ammonia, anhydrous, liquid",16,0.52371599
various_ISIC,"copper concentrate, sulfide ore",16,0.341051955
various_ISIC,straw,16,0.463443221
various_ISIC,turpentine,16,0.510146673
various_ISIC,waste emulsion paint,16,-0.902096483
various_ISIC,"wood chips, dry, measured as dry mass",16,0.806299063
various_ISIC,gold,17,0.984270587
various_ISIC,"residual softwood, wet",17,0.401268784
various_ISIC,sulfur,17,1.532671278
various_ISIC,"hydrogen, liquid",18,0.902034461
various_ISIC,lignite ash,18,-2.000351216
various_ISIC,sulfuric acid,18,1.070346825
various_ISIC,"copper, cathode",19,0.930492656
various_ISIC,"inorganic potassium fertiliser, as K2O",19,0.885435196
various_ISIC,"cleft timber, measured as dry mass",20,0.770443367
various_ISIC,mischmetal,20,3.080083184
various_ISIC,waste paint,21,-1.086368184
various_ISIC,"waste plastic, mixture",22,-1.821455223
various_ISIC,"wood chips, wet, measured as dry mass",22,0.331832139
various_ISIC,"ethanol, without water, in 95% solution state, from fermentation",24,1.191175584
various_ISIC,supplementary cementitious materials,25,2.009766982
various_ISIC,"waste wood, untreated",25,-0.937507077
various_ISIC,"shavings, softwood, loose, measured as dry mass",26,0.232016089
various_ISIC,"steam, in chemical industry",26,0.771146124
various_ISIC,"bark chips, wet, measured as dry mass",27,0.786210544
various_ISIC,"heat, central or small-scale, natural gas",27,0.488594117
various_ISIC,"residual wood, dry",34,0.894166944
various_ISIC,hard coal,39,0.504965232
various_ISIC,"energy feed, gross",40,0.911663291
various_ISIC,"protein feed, 100% crude",46,0.900857054
various_ISIC,municipal solid waste,49,-0.400851804
various_ISIC,"inorganic nitrogen fertiliser, as N",54,0.511783301
various_ISIC,hard coal ash,61,-2.771861377
various_ISIC,"natural gas, high pressure",75,1.141868138
